                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5254,                0.28303,                0.16889,                0.89185,                 1.5077,                0.98216,                0.94118,                0.98548,                0.60302,                0.98216,                0.94118,                0.98548,                0.98548,                 1.3977,                0.14494,                0.04355,                0.75196,                 1.4755,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4924,                0.19989,                0.14887,                0.91541,                 1.5129,                0.87608,                      1,                0.98342,                 0.6133,                      1,                0.91919,                0.98974,                0.98911,                 1.2899,                0.11177,                0.01971,                0.72065,                 1.4183,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5332,                0.25312,                0.13297,                0.90906,                 1.4798,                0.87703,                0.94118,                0.98044,                0.63698,                      1,                0.91972,                 0.9875,                   0.98,                  1.278,                0.10271,                0.01398,                0.73875,                 1.3851,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4771,                0.23552,                0.13504,                0.90244,                 1.4863,                0.96071,                0.88235,                0.98621,                0.61078,                0.96071,                0.88235,                0.98621,                0.98621,                 1.2855,                0.10022,                  0.013,                0.67846,                 1.3902,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.4706,                0.25081,                0.13334,                 0.8784,                 1.4722,                0.98684,                      1,                  0.995,                0.63391,                0.98684,                      1,                  0.995,                0.98012,                 1.3152,                0.14098,                0.01921,                 0.6982,                 1.3993,               0.001208,               0.001208,               0.001208
                     43,                 1.4493,                 0.2083,                0.12617,                 0.9074,                 1.4633,                0.97109,                      1,                  0.995,                0.62011,                0.97109,                      1,                  0.995,                0.99054,                 1.2634,                0.11322,                  0.012,                 0.7537,                 1.4051,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4406,                0.21101,                0.11724,                0.83459,                 1.4384,                 0.9935,                      1,                  0.995,                0.67394,                 0.9935,                      1,                  0.995,                0.99046,                 1.2199,                0.12424,                0.01682,                0.67593,                 1.3608,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4859,                0.23665,                0.10749,                0.86669,                 1.4609,                0.94035,                0.92796,                0.94253,                0.58641,                      1,                0.98649,                  0.995,                  0.995,                  1.415,                0.10449,                0.01238,                0.72329,                 1.4325,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4111,                0.22253,                0.10437,                0.84135,                 1.4079,                0.98124,                      1,                  0.995,                0.69776,                0.98124,                      1,                  0.995,                  0.995,                 1.1456,                0.09242,                0.01888,                0.66402,                 1.3369,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4191,                0.23011,                0.11662,                0.84987,                 1.4291,                0.94201,                0.95616,                0.99222,                0.64228,                0.94201,                0.95616,                0.99222,                0.98631,                 1.2494,                0.14478,                0.00288,                0.77803,                 1.3582,               0.001109,               0.001109,               0.001109
                     48,                 1.4569,                0.22208,                0.11263,                 0.8588,                 1.4003,                0.94197,                0.95538,                0.99222,                0.66694,                0.94197,                0.95538,                0.99222,                0.99222,                  1.244,                 0.0889,                0.01813,                0.67354,                 1.3517,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3919,                0.19398,                0.10466,                0.83158,                 1.4208,                0.87811,                0.94118,                0.95242,                0.53555,                0.93299,                      1,                0.98222,                0.98222,                 1.5938,                0.08215,                0.02416,                0.75779,                 1.4985,              0.0010694,              0.0010694,              0.0010694
